location,Latitude,Longitude,Accuracy Score,Accuracy Type,Number,Street,Unit Type,Unit Number,City,State,County,Zip,Country,Source
3996 Jeffco Blvd MO 63010,38.40569,-90.376802,1.0,rooftop,3996.0,Jeffco Blvd,,,Arnold,MO,Jefferson County,63010,US,Jefferson
130 Arnold Crossroads Ctr MO 63010,38.445494000000004,-90.374454,0.88,nearest_rooftop_match,120.0,Arnold Crossroads Ctr,,,Arnold,MO,Jefferson County,63010,US,Jefferson
2201 Michigan Ave MO 63010,38.43704,-90.377478,1.0,rooftop,2201.0,Michigan Ave,,,Arnold,MO,Jefferson County,63010,US,Jefferson
2005 Richardson Rd MO 63010,38.418378999999995,-90.390784,1.0,rooftop,2005.0,Richardson Rd,,,Arnold,MO,Jefferson County,63010,US,Jefferson
3996 Jeffco Blvd MO 63010,38.40569,-90.376802,1.0,rooftop,3996.0,Jeffco Blvd,,,Arnold,MO,Jefferson County,63010,US,Jefferson
130 Arnold Crossroads Ctr MO 63010,38.445494000000004,-90.374454,0.88,nearest_rooftop_match,120.0,Arnold Crossroads Ctr,,,Arnold,MO,Jefferson County,63010,US,Jefferson
2201 Michigan Ave MO 63010,38.43704,-90.377478,1.0,rooftop,2201.0,Michigan Ave,,,Arnold,MO,Jefferson County,63010,US,Jefferson
2005 Richardson Rd MO 63010,38.418378999999995,-90.390784,1.0,rooftop,2005.0,Richardson Rd,,,Arnold,MO,Jefferson County,63010,US,Jefferson
1500 Sw State Route 7 MO 64014,39.035975,-94.271045,1.0,rooftop,1500.0,NW 7 Hwy,,,Blue Springs,MO,Jackson County,64014,US,Jackson
814 Nw State Route 7 MO 64014,39.028058,-94.27131800000001,1.0,rooftop,814.0,NW 7 Hwy,,,Blue Springs,MO,Jackson County,64014,US,Jackson
4491 Sw State Route 7 MO 64014,39.00569,-94.252933,0.33,place,,,,,Blue Springs,MO,Jackson County,64014,US,TIGER/Line® dataset from the US Census Bureau
1515 Nw Woods Chapel Rd MO 64015,39.033134999999994,-94.305986,1.0,rooftop,1515.0,NW Woods Chapel Rd,,,Blue Springs,MO,Jackson County,64015,US,Jackson
920 SW US Highway 40 MO 64015,39.008868,-94.276729,1.0,rooftop,920.0,SW Eastbound Us 40 Hwy,,,Blue Springs,MO,Jackson County,64015,US,Jackson
1500 Sw State Route 7 MO 64014,39.035975,-94.271045,1.0,rooftop,1500.0,NW 7 Hwy,,,Blue Springs,MO,Jackson County,64014,US,Jackson
814 Nw State Route 7 MO 64014,39.028058,-94.27131800000001,1.0,rooftop,814.0,NW 7 Hwy,,,Blue Springs,MO,Jackson County,64014,US,Jackson
4491 Sw State Route 7 MO 64014,39.00569,-94.252933,0.33,place,,,,,Blue Springs,MO,Jackson County,64014,US,TIGER/Line® dataset from the US Census Bureau
1515 Nw Woods Chapel Rd MO 64015,39.033134999999994,-94.305986,1.0,rooftop,1515.0,NW Woods Chapel Rd,,,Blue Springs,MO,Jackson County,64015,US,Jackson
920 SW US Highway 40 MO 64015,39.008868,-94.276729,1.0,rooftop,920.0,SW Eastbound Us 40 Hwy,,,Blue Springs,MO,Jackson County,64015,US,Jackson
515 W Main St MO 65616,36.644413,-93.22273,1.0,rooftop,515.0,W Main St,,,Branson,MO,Taney County,65616,US,Taney
2214 W 76 Country Blvd MO 65616,36.641176,-93.263875,1.0,range_interpolation,2214.0,W 76 Country Blvd,,,Branson,MO,Taney County,65616,US,TIGER/Line® dataset from the US Census Bureau
1361 State Highway 248 MO 65616,36.663609,-93.240089,1.0,rooftop,1361.0,State Hwy 248,,,Branson,MO,Taney County,65616,US,Taney
140 Corporate Pl MO 65616,36.687683,-93.21818,1.0,rooftop,140.0,Corporate Pl,,,Branson,MO,Taney County,65616,US,Taney
515 W Main St MO 65616,36.644413,-93.22273,1.0,rooftop,515.0,W Main St,,,Branson,MO,Taney County,65616,US,Taney
2214 W 76 Country Blvd MO 65616,36.641176,-93.263875,1.0,range_interpolation,2214.0,W 76 Country Blvd,,,Branson,MO,Taney County,65616,US,TIGER/Line® dataset from the US Census Bureau
1361 State Highway 248 MO 65616,36.663609,-93.240089,1.0,rooftop,1361.0,State Hwy 248,,,Branson,MO,Taney County,65616,US,Taney
140 Corporate Pl MO 65616,36.687683,-93.21818,1.0,rooftop,140.0,Corporate Pl,,,Branson,MO,Taney County,65616,US,Taney
1925 Broadway St MO 63701,37.313049,-89.54475500000001,1.0,range_interpolation,1925.0,Broadway St,,,Cape Girardeau,MO,Cape Girardeau County,63701,US,TIGER/Line® dataset from the US Census Bureau
3419 William St MO 63701,37.302703,-89.583526,1.0,rooftop,3419.0,William St,,,Cape Girardeau,MO,Cape Girardeau County,63701,US,City of Cape Girardeau
528 Helena St MO 63701,37.312034000000004,-89.545998,1.0,rooftop,528.0,Helena Ave,,,Cape Girardeau,MO,Cape Girardeau County,63701,US,City of Cape Girardeau
W Park Mall MO 63703,37.298932,-89.574442,1.0,street_center,,W Park Mall,,,Cape Girardeau,MO,Cape Girardeau County,63703,US,TIGER/Line® dataset from the US Census Bureau
1925 Broadway St MO 63701,37.313049,-89.54475500000001,1.0,range_interpolation,1925.0,Broadway St,,,Cape Girardeau,MO,Cape Girardeau County,63701,US,TIGER/Line® dataset from the US Census Bureau
3419 William St MO 63701,37.302703,-89.583526,1.0,rooftop,3419.0,William St,,,Cape Girardeau,MO,Cape Girardeau County,63701,US,City of Cape Girardeau
528 Helena St MO 63701,37.312034000000004,-89.545998,1.0,rooftop,528.0,Helena Ave,,,Cape Girardeau,MO,Cape Girardeau County,63701,US,City of Cape Girardeau
