offer_id,gender,age,became_member_on,income,reward,channels,difficulty,duration,offer_type,paid,offer_received,offer_viewed,offer_viewed_y_n,offer_completed,offer_completed_y_n
1,2,33.0,125,72000.0,0.0,0,0.0,3.0,2,0.0,168,65,1,70,0
0,2,33.0,125,72000.0,0.0,1,0.0,4.0,2,0.0,336,4,1,70,0
8,2,33.0,125,72000.0,5.0,2,5.0,5.0,1,8.57,408,61,1,61,1
9,2,33.0,125,72000.0,2.0,2,10.0,10.0,0,14.11,504,53,1,53,1
7,2,33.0,125,72000.0,2.0,1,10.0,7.0,0,10.27,576,27,1,27,1
0,0,40.0,430,57000.0,0.0,1,0.0,4.0,2,0.0,0,17,1,70,0
2,0,40.0,430,57000.0,3.0,2,7.0,7.0,0,11.93,168,12,1,45,1
1,0,40.0,430,57000.0,0.0,0,0.0,3.0,2,0.0,336,79,1,70,0
3,0,40.0,430,57000.0,5.0,3,20.0,10.0,0,0.0,408,45,1,70,0
4,0,40.0,430,57000.0,5.0,1,5.0,7.0,1,0.0,504,67,1,27,1
9,1,59.0,1282,90000.0,2.0,2,10.0,10.0,0,17.63,0,3,1,99,1
5,1,59.0,1282,90000.0,10.0,0,10.0,7.0,1,0.0,168,72,1,70,0
9,1,59.0,1282,90000.0,2.0,2,10.0,10.0,0,0.0,336,119,1,70,0
6,1,59.0,1282,90000.0,10.0,2,10.0,5.0,1,0.0,408,49,1,70,0
1,1,59.0,1282,90000.0,0.0,0,0.0,3.0,2,0.0,504,89,1,89,1
2,1,24.0,1051,60000.0,3.0,2,7.0,7.0,0,11.65,168,103,1,111,1
8,1,24.0,1051,60000.0,5.0,2,5.0,5.0,1,14.53,336,86,1,93,1
1,1,24.0,1051,60000.0,0.0,0,0.0,3.0,2,0.0,408,119,1,70,0
4,1,24.0,1051,60000.0,5.0,1,5.0,7.0,1,10.32,504,114,1,57,1
1,1,26.0,251,73000.0,0.0,0,0.0,3.0,2,0.0,0,104,1,70,0
9,1,26.0,251,73000.0,2.0,2,10.0,10.0,0,0.0,168,13,1,70,0
0,1,26.0,251,73000.0,0.0,1,0.0,4.0,2,3.66,336,4,1,100,1
9,1,26.0,251,73000.0,2.0,2,10.0,10.0,0,0.0,408,71,1,70,0
3,1,26.0,251,73000.0,5.0,3,20.0,10.0,0,5.01,504,34,1,34,1
1,1,19.0,1008,65000.0,0.0,0,0.0,3.0,2,0.0,0,104,1,70,0
9,1,19.0,1008,65000.0,2.0,2,10.0,10.0,0,16.97,168,12,1,118,1
3,1,19.0,1008,65000.0,5.0,3,20.0,10.0,0,0.0,336,119,1,70,0
7,1,19.0,1008,65000.0,2.0,1,10.0,7.0,0,0.0,408,27,1,70,0
7,1,19.0,1008,65000.0,2.0,1,10.0,7.0,0,0.0,576,76,0,70,0
0,1,55.0,1499,74000.0,0.0,1,0.0,4.0,2,0.0,168,34,1,70,0
8,1,55.0,1499,74000.0,5.0,2,5.0,5.0,1,27.92,504,89,1,28,1
9,1,55.0,1499,74000.0,2.0,2,10.0,10.0,0,19.93,576,27,1,52,1
9,2,54.0,623,99000.0,2.0,2,10.0,10.0,0,43.21,168,19,1,111,1
5,2,54.0,623,99000.0,10.0,0,10.0,7.0,1,25.61,336,72,1,73,1
8,2,54.0,623,99000.0,5.0,2,5.0,5.0,1,22.82,408,119,1,46,1
8,2,54.0,623,99000.0,5.0,2,5.0,5.0,1,35.91,504,67,1,81,1
9,2,54.0,623,99000.0,2.0,2,10.0,10.0,0,33.67,576,27,1,27,1
5,2,56.0,1475,47000.0,10.0,0,10.0,7.0,1,0.0,0,15,1,70,0
5,2,56.0,1475,47000.0,10.0,0,10.0,7.0,1,0.0,168,12,1,70,0
7,2,56.0,1475,47000.0,2.0,1,10.0,7.0,0,0.0,408,34,1,70,0
4,2,56.0,1475,47000.0,5.0,1,5.0,7.0,1,0.0,504,27,1,70,0
5,2,56.0,1475,47000.0,10.0,0,10.0,7.0,1,9.03,576,27,1,114,1
4,2,54.0,184,91000.0,5.0,1,5.0,7.0,1,27.86,0,63,1,16,1
3,2,54.0,184,91000.0,5.0,3,20.0,10.0,0,27.59,408,61,1,61,1
0,2,54.0,184,91000.0,0.0,1,0.0,4.0,2,0.0,504,53,1,70,0
2,2,54.0,184,91000.0,3.0,2,7.0,7.0,0,29.77,576,27,1,27,1
5,1,58.0,1173,119000.0,10.0,0,10.0,7.0,1,27.26,0,3,1,3,1
3,1,58.0,1173,119000.0,5.0,3,20.0,10.0,0,28.73,168,41,1,41,1
6,1,58.0,1173,119000.0,10.0,2,10.0,5.0,1,17.86,336,25,1,25,1
0,1,58.0,1173,119000.0,0.0,1,0.0,4.0,2,0.0,408,34,1,70,0
7,1,58.0,1173,119000.0,2.0,1,10.0,7.0,0,21.35,504,28,1,28,1
3,1,58.0,1173,119000.0,5.0,3,20.0,10.0,0,21.59,576,95,1,95,1
1,1,28.0,258,68000.0,0.0,0,0.0,3.0,2,0.0,0,43,1,70,0
0,1,28.0,258,68000.0,0.0,1,0.0,4.0,2,0.0,168,103,1,70,0
4,1,28.0,258,68000.0,5.0,1,5.0,7.0,1,19.24,336,86,1,55,1
4,1,28.0,258,68000.0,5.0,1,5.0,7.0,1,8.95,408,50,1,50,1
0,1,28.0,258,68000.0,0.0,1,0.0,4.0,2,0.0,504,101,1,70,0
7,2,26.0,1494,61000.0,2.0,1,10.0,7.0,0,0.0,0,103,1,70,0
9,2,26.0,1494,61000.0,2.0,2,10.0,10.0,0,5.11,168,1,1,36,1
0,2,26.0,1494,61000.0,0.0,1,0.0,4.0,2,0.0,336,119,1,70,0
4,2,26.0,1494,61000.0,5.0,1,5.0,7.0,1,0.0,408,34,1,70,0
7,2,26.0,1494,61000.0,2.0,1,10.0,7.0,0,5.41,504,89,1,59,1
3,2,26.0,1494,61000.0,5.0,3,20.0,10.0,0,0.0,576,76,0,70,0
6,2,71.0,389,41000.0,10.0,2,10.0,5.0,1,0.0,0,10,1,70,0
8,2,71.0,389,41000.0,5.0,2,5.0,5.0,1,0.0,336,79,1,70,0
4,2,71.0,389,41000.0,5.0,1,5.0,7.0,1,0.0,408,34,1,70,0
5,2,71.0,389,41000.0,10.0,0,10.0,7.0,1,0.0,504,58,1,70,0
3,2,71.0,389,41000.0,5.0,3,20.0,10.0,0,0.0,576,76,0,70,0
8,2,24.0,939,42000.0,5.0,2,5.0,5.0,1,0.0,0,43,1,70,0
7,2,24.0,939,42000.0,2.0,1,10.0,7.0,0,0.0,168,72,1,70,0
1,2,24.0,939,42000.0,0.0,0,0.0,3.0,2,0.0,336,64,1,70,0
5,2,24.0,939,42000.0,10.0,0,10.0,7.0,1,0.0,408,119,1,70,0
6,2,24.0,939,42000.0,10.0,2,10.0,5.0,1,0.0,504,81,1,70,0
1,2,24.0,939,42000.0,0.0,0,0.0,3.0,2,0.0,576,69,1,70,0
6,1,62.0,1659,81000.0,10.0,2,10.0,5.0,1,18.26,0,17,1,17,1
3,1,62.0,1659,81000.0,5.0,3,20.0,10.0,0,27.03,168,46,1,13,1
8,1,62.0,1659,81000.0,5.0,2,5.0,5.0,1,27.32,408,119,1,119,1
8,1,62.0,1659,81000.0,5.0,2,5.0,5.0,1,42.83,504,89,1,66,1
6,1,62.0,1659,81000.0,10.0,2,10.0,5.0,1,0.0,576,27,1,70,0
9,2,61.0,71,66000.0,2.0,2,10.0,10.0,0,0.0,0,10,1,70,0
6,2,61.0,71,66000.0,10.0,2,10.0,5.0,1,5.76,168,38,1,35,1
3,2,61.0,71,66000.0,5.0,3,20.0,10.0,0,68.82,336,71,1,72,1
7,2,61.0,71,66000.0,2.0,1,10.0,7.0,0,0.0,504,27,1,70,0
7,2,61.0,71,66000.0,2.0,1,10.0,7.0,0,0.0,576,27,1,70,0
0,1,88.0,1569,54000.0,0.0,1,0.0,4.0,2,0.0,0,63,1,70,0
0,1,88.0,1569,54000.0,0.0,1,0.0,4.0,2,0.0,168,19,1,70,0
0,1,88.0,1569,54000.0,0.0,1,0.0,4.0,2,0.0,336,79,1,70,0
6,1,88.0,1569,54000.0,10.0,2,10.0,5.0,1,0.0,408,61,1,70,0
8,1,88.0,1569,54000.0,5.0,2,5.0,5.0,1,11.27,504,34,1,28,1
1,2,55.0,351,83000.0,0.0,0,0.0,3.0,2,0.0,0,15,1,70,0
7,2,55.0,351,83000.0,2.0,1,10.0,7.0,0,0.0,168,65,1,70,0
2,2,55.0,351,83000.0,3.0,2,7.0,7.0,0,15.54,336,72,1,94,1
5,2,55.0,351,83000.0,10.0,0,10.0,7.0,1,37.99,408,61,1,61,1
5,2,55.0,351,83000.0,10.0,0,10.0,7.0,1,0.0,504,28,1,70,0
2,2,55.0,351,83000.0,3.0,2,7.0,7.0,0,0.0,576,69,1,6,1
8,2,21.0,1372,59000.0,5.0,2,5.0,5.0,1,0.0,336,86,1,70,0
7,2,21.0,1372,59000.0,2.0,1,10.0,7.0,0,0.0,504,27,1,70,0
5,2,21.0,1372,59000.0,10.0,0,10.0,7.0,1,0.0,576,57,1,70,0
2,2,72.0,1550,102000.0,3.0,2,7.0,7.0,0,25.28,0,17,1,31,1
2,2,72.0,1550,102000.0,3.0,2,7.0,7.0,0,25.73,168,19,1,76,1
1,2,72.0,1550,102000.0,0.0,0,0.0,3.0,2,0.0,336,71,1,70,0
5,2,72.0,1550,102000.0,10.0,0,10.0,7.0,1,0.0,504,34,1,70,0
9,2,72.0,1550,102000.0,2.0,2,10.0,10.0,0,23.97,576,27,1,115,1
0,2,62.0,1180,80000.0,0.0,1,0.0,4.0,2,0.0,0,103,1,70,0
5,2,62.0,1180,80000.0,10.0,0,10.0,7.0,1,17.16,168,20,1,20,1
3,2,62.0,1180,80000.0,5.0,3,20.0,10.0,0,0.0,336,119,1,70,0
1,2,62.0,1180,80000.0,0.0,0,0.0,3.0,2,23.88,408,61,1,72,1
9,2,62.0,1180,80000.0,2.0,2,10.0,10.0,0,22.28,576,42,1,69,1
5,2,50.0,1335,104000.0,10.0,0,10.0,7.0,1,19.44,168,1,1,45,1
3,2,50.0,1335,104000.0,5.0,3,20.0,10.0,0,29.79,408,30,1,30,1
6,2,50.0,1335,104000.0,10.0,2,10.0,5.0,1,29.38,576,114,1,114,1
9,1,68.0,70,76000.0,2.0,2,10.0,10.0,0,0.0,168,12,1,70,0
4,1,68.0,70,76000.0,5.0,1,5.0,7.0,1,0.0,336,86,1,70,0
8,1,68.0,70,76000.0,5.0,2,5.0,5.0,1,0.0,408,119,1,70,0
4,1,68.0,70,76000.0,5.0,1,5.0,7.0,1,0.0,576,101,1,70,0
1,2,94.0,813,50000.0,0.0,0,0.0,3.0,2,0.0,0,54,1,70,0
7,2,94.0,813,50000.0,2.0,1,10.0,7.0,0,18.51,408,119,1,44,1
4,2,94.0,813,50000.0,5.0,1,5.0,7.0,1,0.0,504,34,1,27,1
9,2,94.0,813,50000.0,2.0,2,10.0,10.0,0,5.39,576,57,1,57,1
7,2,44.0,313,72000.0,2.0,1,10.0,7.0,0,19.84,0,17,1,43,1
5,2,44.0,313,72000.0,10.0,0,10.0,7.0,1,17.03,336,4,1,68,1
2,2,44.0,313,72000.0,3.0,2,7.0,7.0,0,14.3,408,119,1,48,1
7,2,44.0,313,72000.0,2.0,1,10.0,7.0,0,23.12,504,66,1,66,1
9,2,44.0,313,72000.0,2.0,2,10.0,10.0,0,15.52,576,114,1,6,1
2,2,59.0,584,77000.0,3.0,2,7.0,7.0,0,0.0,0,73,1,70,0
5,2,59.0,584,77000.0,10.0,0,10.0,7.0,1,14.11,168,20,1,11,1
4,2,59.0,584,77000.0,5.0,1,5.0,7.0,1,0.0,408,34,1,70,0
7,2,59.0,584,77000.0,2.0,1,10.0,7.0,0,0.0,504,76,0,70,0
8,0,52.0,1280,80000.0,5.0,2,5.0,5.0,1,22.58,0,10,1,99,1
2,0,52.0,1280,80000.0,3.0,2,7.0,7.0,0,25.16,336,86,1,86,1
3,0,52.0,1280,80000.0,5.0,3,20.0,10.0,0,0.0,504,81,1,70,0
6,0,52.0,1280,80000.0,10.0,2,10.0,5.0,1,16.72,576,27,1,27,1
6,1,58.0,625,102000.0,10.0,2,10.0,5.0,1,0.0,0,10,1,70,0
6,1,58.0,625,102000.0,10.0,2,10.0,5.0,1,0.0,168,111,1,70,0
9,1,58.0,625,102000.0,2.0,2,10.0,10.0,0,12.97,408,61,1,61,1
7,1,58.0,625,102000.0,2.0,1,10.0,7.0,0,0.0,504,27,1,70,0
6,1,58.0,625,102000.0,10.0,2,10.0,5.0,1,0.0,576,114,1,114,1
2,2,33.0,1634,42000.0,3.0,2,7.0,7.0,0,0.0,0,10,1,70,0
6,2,33.0,1634,42000.0,10.0,2,10.0,5.0,1,0.0,168,19,1,70,0
9,2,33.0,1634,42000.0,2.0,2,10.0,10.0,0,0.0,336,119,1,70,0
7,2,33.0,1634,42000.0,2.0,1,10.0,7.0,0,0.0,408,51,1,70,0
7,2,28.0,654,35000.0,2.0,1,10.0,7.0,0,0.0,0,103,1,70,0
0,2,28.0,654,35000.0,0.0,1,0.0,4.0,2,0.0,168,41,1,70,0
6,2,28.0,654,35000.0,10.0,2,10.0,5.0,1,0.0,336,96,1,70,0
3,2,28.0,654,35000.0,5.0,3,20.0,10.0,0,0.0,408,34,1,70,0
9,2,28.0,654,35000.0,2.0,2,10.0,10.0,0,0.0,504,66,1,70,0
5,2,28.0,654,35000.0,10.0,0,10.0,7.0,1,0.0,576,27,1,70,0
9,2,47.0,706,86000.0,2.0,2,10.0,10.0,0,13.8,0,17,1,77,1
5,2,47.0,706,86000.0,10.0,0,10.0,7.0,1,28.88,168,38,1,38,1
0,2,47.0,706,86000.0,0.0,1,0.0,4.0,2,0.0,336,72,1,70,0
2,2,47.0,706,86000.0,3.0,2,7.0,7.0,0,14.76,576,114,1,42,1
0,1,22.0,918,49000.0,0.0,1,0.0,4.0,2,0.0,0,103,1,70,0
1,1,22.0,918,49000.0,0.0,0,0.0,3.0,2,0.0,168,103,1,70,0
2,1,22.0,918,49000.0,3.0,2,7.0,7.0,0,8.91,336,25,1,25,1
9,1,22.0,918,49000.0,2.0,2,10.0,10.0,0,15.16,408,119,1,119,1
2,1,22.0,918,49000.0,3.0,2,7.0,7.0,0,12.14,576,85,1,95,1
8,2,34.0,1199,38000.0,5.0,2,5.0,5.0,1,0.0,168,1,1,70,0
6,2,34.0,1199,38000.0,10.0,2,10.0,5.0,1,0.0,336,72,1,70,0
5,2,34.0,1199,38000.0,10.0,0,10.0,7.0,1,0.0,408,49,1,70,0
3,2,34.0,1199,38000.0,5.0,3,20.0,10.0,0,0.0,504,27,1,70,0
2,2,34.0,1199,38000.0,3.0,2,7.0,7.0,0,0.0,576,18,1,70,0
9,2,53.0,615,73000.0,2.0,2,10.0,10.0,0,0.0,168,19,1,70,0
9,2,53.0,615,73000.0,2.0,2,10.0,10.0,0,0.0,336,90,1,70,0
7,2,53.0,615,73000.0,2.0,1,10.0,7.0,0,0.0,504,67,1,39,1
2,2,53.0,195,40000.0,3.0,2,7.0,7.0,0,0.0,0,60,1,70,0
5,2,53.0,195,40000.0,10.0,0,10.0,7.0,1,0.0,168,1,1,70,0
4,2,53.0,195,40000.0,5.0,1,5.0,7.0,1,6.02,408,90,1,90,1
3,2,53.0,195,40000.0,5.0,3,20.0,10.0,0,0.0,504,27,1,70,0
5,2,53.0,195,40000.0,10.0,0,10.0,7.0,1,0.0,576,101,1,70,0
4,1,58.0,256,115000.0,5.0,1,5.0,7.0,1,22.08,0,3,1,104,1
7,1,58.0,256,115000.0,2.0,1,10.0,7.0,0,27.63,168,36,1,36,1
8,1,58.0,256,115000.0,5.0,2,5.0,5.0,1,42.75,336,86,1,79,1
0,1,58.0,256,115000.0,0.0,1,0.0,4.0,2,0.0,408,34,1,70,0
9,1,58.0,256,115000.0,2.0,2,10.0,10.0,0,39.69,504,34,1,34,1
6,1,58.0,256,115000.0,10.0,2,10.0,5.0,1,22.75,576,112,1,112,1
2,2,22.0,1438,32000.0,3.0,2,7.0,7.0,0,5.26,0,17,1,97,1
1,2,22.0,1438,32000.0,0.0,0,0.0,3.0,2,0.0,168,36,1,70,0
8,2,22.0,1438,32000.0,5.0,2,5.0,5.0,1,8.11,408,119,1,61,1
4,2,22.0,1438,32000.0,5.0,1,5.0,7.0,1,0.0,504,89,1,70,0
6,2,22.0,1438,32000.0,10.0,2,10.0,5.0,1,0.0,576,114,1,114,1
6,2,71.0,1686,75000.0,10.0,2,10.0,5.0,1,29.39,0,3,1,58,1
7,2,71.0,1686,75000.0,2.0,1,10.0,7.0,0,0.0,336,119,1,70,0
4,2,71.0,1686,75000.0,5.0,1,5.0,7.0,1,0.0,408,106,1,70,0
7,2,71.0,1686,75000.0,2.0,1,10.0,7.0,0,0.0,504,34,1,34,1
9,2,71.0,1686,75000.0,2.0,2,10.0,10.0,0,24.94,576,51,1,95,1
2,2,45.0,1432,88000.0,3.0,2,7.0,7.0,0,0.0,0,9,1,70,0
0,2,45.0,1432,88000.0,0.0,1,0.0,4.0,2,0.0,168,46,1,70,0
9,2,45.0,1432,88000.0,2.0,2,10.0,10.0,0,0.0,336,72,1,70,0
5,2,45.0,1432,88000.0,10.0,0,10.0,7.0,1,0.0,504,27,1,70,0
5,2,45.0,1432,88000.0,10.0,0,10.0,7.0,1,25.38,576,114,1,56,1
6,1,82.0,1700,33000.0,10.0,2,10.0,5.0,1,0.0,0,104,1,70,0
9,1,82.0,1700,33000.0,2.0,2,10.0,10.0,0,10.05,408,119,1,49,1
9,1,82.0,1700,33000.0,2.0,2,10.0,10.0,0,125.32,576,42,1,6,1
5,2,40.0,319,65000.0,10.0,0,10.0,7.0,1,0.0,0,103,1,70,0
7,2,40.0,319,65000.0,2.0,1,10.0,7.0,0,0.0,168,103,1,70,0
8,2,40.0,319,65000.0,5.0,2,5.0,5.0,1,0.0,336,4,1,70,0
3,2,40.0,319,65000.0,5.0,3,20.0,10.0,0,0.0,408,58,1,70,0
1,2,40.0,319,65000.0,0.0,0,0.0,3.0,2,7.32,576,85,1,18,1
0,2,35.0,440,70000.0,0.0,1,0.0,4.0,2,0.0,0,3,1,70,0
2,2,35.0,440,70000.0,3.0,2,7.0,7.0,0,2.98,168,47,1,7,1
6,2,35.0,440,70000.0,10.0,2,10.0,5.0,1,0.0,336,72,1,70,0
3,2,35.0,440,70000.0,5.0,3,20.0,10.0,0,0.0,576,76,0,70,0
0,2,73.0,1547,45000.0,0.0,1,0.0,4.0,2,0.0,0,107,1,70,0
1,2,73.0,1547,45000.0,0.0,0,0.0,3.0,2,0.0,336,96,1,70,0
3,2,73.0,1547,45000.0,5.0,3,20.0,10.0,0,12.36,408,45,1,46,1
3,2,73.0,1547,45000.0,5.0,3,20.0,10.0,0,13.1,504,34,1,66,1
2,2,73.0,1547,45000.0,3.0,2,7.0,7.0,0,10.74,576,27,1,27,1
4,2,55.0,1353,94000.0,5.0,1,5.0,7.0,1,23.52,168,19,1,87,1
5,2,55.0,1353,94000.0,10.0,0,10.0,7.0,1,0.0,336,119,1,70,0
7,2,55.0,1353,94000.0,2.0,1,10.0,7.0,0,0.0,408,34,1,70,0
9,2,55.0,1353,94000.0,2.0,2,10.0,10.0,0,0.0,504,67,1,59,1
1,2,60.0,298,74000.0,0.0,0,0.0,3.0,2,0.0,168,19,1,70,0
7,2,60.0,298,74000.0,2.0,1,10.0,7.0,0,0.0,336,79,1,70,0
6,2,60.0,298,74000.0,10.0,2,10.0,5.0,1,0.0,408,106,1,70,0
9,2,60.0,298,74000.0,2.0,2,10.0,10.0,0,0.0,504,89,1,70,0
5,2,45.0,1202,52000.0,10.0,0,10.0,7.0,1,0.0,0,77,1,70,0
8,2,45.0,1202,52000.0,5.0,2,5.0,5.0,1,0.0,168,38,1,70,0
3,2,45.0,1202,52000.0,5.0,3,20.0,10.0,0,0.0,336,34,1,70,0
1,2,45.0,1202,52000.0,0.0,0,0.0,3.0,2,0.0,504,108,1,70,0
5,2,45.0,1202,52000.0,10.0,0,10.0,7.0,1,0.0,576,42,1,70,0
5,2,57.0,1443,80000.0,10.0,0,10.0,7.0,1,26.69,0,10,1,17,1
3,2,57.0,1443,80000.0,5.0,3,20.0,10.0,0,23.63,168,19,1,19,1
5,2,57.0,1443,80000.0,10.0,0,10.0,7.0,1,13.88,504,108,1,108,1
3,2,57.0,1443,80000.0,5.0,3,20.0,10.0,0,23.87,576,42,1,112,1
1,1,56.0,1439,91000.0,0.0,0,0.0,3.0,2,0.0,0,104,1,70,0
5,1,56.0,1439,91000.0,10.0,0,10.0,7.0,1,31.96,336,72,1,73,1
4,1,56.0,1439,91000.0,5.0,1,5.0,7.0,1,0.0,576,114,1,70,0
0,2,55.0,918,104000.0,0.0,1,0.0,4.0,2,0.0,168,119,1,70,0
1,2,55.0,918,104000.0,0.0,0,0.0,3.0,2,0.0,408,49,1,70,0
9,2,55.0,918,104000.0,2.0,2,10.0,10.0,0,31.16,576,42,1,57,1
3,2,19.0,1679,50000.0,5.0,3,20.0,10.0,0,0.0,168,72,1,70,0
9,2,19.0,1679,50000.0,2.0,2,10.0,10.0,0,0.0,336,100,1,100,1
8,2,19.0,1679,50000.0,5.0,2,5.0,5.0,1,21.31,408,61,1,61,1
3,2,19.0,1679,50000.0,5.0,3,20.0,10.0,0,0.0,504,27,1,70,0
8,2,19.0,1679,50000.0,5.0,2,5.0,5.0,1,0.0,576,85,1,85,1
2,1,68.0,157,32000.0,3.0,2,7.0,7.0,0,13.92,0,17,1,3,1
3,1,68.0,157,32000.0,5.0,3,20.0,10.0,0,0.0,168,72,1,70,0
1,1,68.0,157,32000.0,0.0,0,0.0,3.0,2,9.06,336,72,1,93,1
2,1,68.0,157,32000.0,3.0,2,7.0,7.0,0,7.49,408,61,1,8,1
4,1,68.0,157,32000.0,5.0,1,5.0,7.0,1,0.0,504,27,1,70,0
5,1,68.0,157,32000.0,10.0,0,10.0,7.0,1,9.01,576,42,1,42,1
9,2,52.0,255,38000.0,2.0,2,10.0,10.0,0,0.0,0,3,1,70,0
7,2,52.0,255,38000.0,2.0,1,10.0,7.0,0,10.31,336,68,1,68,1
2,2,52.0,255,38000.0,3.0,2,7.0,7.0,0,0.0,504,34,1,70,0
2,2,52.0,255,38000.0,3.0,2,7.0,7.0,0,0.0,576,101,1,70,0
1,2,57.0,517,55000.0,0.0,0,0.0,3.0,2,0.0,0,110,1,70,0
